POS ,Player            ,Mat ,Inns ,Ov   ,Runs ,Wkts ,BBI  ,Avg   ,Econ ,SR    ,4w ,5w
  1 ,Yuzvendra Chahal  , 17 ,  17 ,68   , 527 ,  27 ,40/5 ,19.51 ,7.75 ,15.11 , 1 , 1
  2 ,Wanindu Hasaranga , 16 ,  16 ,57   , 430 ,  26 ,18/5 ,16.53 ,7.54 ,13.15 , 1 , 1
  3 ,Kagiso Rabada     , 13 ,  13 ,48   , 406 ,  23 ,33/4 ,17.65 ,8.45 ,12.52 , 2 , 0
  4 ,Umran Malik       , 14 ,  14 ,49.1 , 444 ,  22 ,25/5 ,20.18 ,9.03 ,13.4  , 1 , 1
  5 ,Kuldeep Yadav     , 14 ,  14 ,49.4 , 419 ,  21 ,14/4 ,19.95 ,8.43 ,14.19 , 2 , 0
  6 ,Mohammad Shami    , 16 ,  16 ,61   , 488 ,  20 ,25/3 ,24.4  ,8    ,18.3  , 0 , 0
  7 ,Josh Hazlewood    , 12 ,  12 ,46.3 , 377 ,  20 ,25/4 ,18.85 ,8.1  ,13.95 , 1 , 0
  8 ,Rashid Khan       , 16 ,  16 ,63.5 , 421 ,  19 ,24/4 ,22.15 ,6.59 ,20.15 , 1 , 0
  9 ,Harshal Patel     , 15 ,  15 ,53.3 , 410 ,  19 ,34/4 ,21.57 ,7.66 ,16.89 , 1 , 0
 10 ,Prasidh Krishna   , 17 ,  17 ,66.3 , 551 ,  19 ,22/3 ,29    ,8.28 ,21    , 0 , 0
 11 ,Avesh Khan        , 13 ,  13 ,47.4 , 416 ,  18 ,24/4 ,23.11 ,8.72 ,15.88 , 1 , 0
 12 ,T Natarajan       , 11 ,  11 ,43   , 406 ,  18 ,10/3 ,22.55 ,9.44 ,14.33 , 0 , 0
 13 ,Andre Russell     , 14 ,  13 ,28.1 , 278 ,  17 ,5/4  ,16.35 ,9.86 , 9.94 , 1 , 0
 14 ,Umesh Yadav       , 12 ,  12 ,48   , 339 ,  16 ,23/4 ,21.18 ,7.06 ,18    , 1 , 0
 15 ,Trent Boult       , 16 ,  16 ,62   , 492 ,  16 ,18/2 ,30.75 ,7.93 ,23.25 , 0 , 0
 16 ,Khaleel Ahmed     , 10 ,  10 ,39.1 , 315 ,  16 ,25/3 ,19.68 ,8.04 ,14.68 , 0 , 0
 17 ,Dwayne Bravo      , 10 ,  10 ,34.2 , 299 ,  16 ,20/3 ,18.68 ,8.7  ,12.87 , 0 , 0
 18 ,Mukesh Choudhary  , 13 ,  13 ,45.3 , 424 ,  16 ,46/4 ,26.5  ,9.31 ,17.06 , 1 , 0
 19 ,Jasprit Bumrah    , 14 ,  14 ,53.2 , 383 ,  15 ,10/5 ,25.53 ,7.18 ,21.33 , 0 , 1
 20 ,Shardul Thakur    , 14 ,  14 ,48.2 , 473 ,  15 ,36/4 ,31.53 ,9.78 ,19.33 , 1 , 0
